Content,Stars,titre,origine,jour,mois,année,Pays
"I've played Pokémon since day ONE, including Red, Blue, Yellow etc. That's my angle for this review, so I hope that means something.I bought Sword for my girlfriend's son (knowing I'd be playing it myself). I just didn't get that same feeling or buzz, that I got from past Pokémon games. And no it's not due to my age! The game just doesn't have the challenge of the old games. You don't have to work hard to beat the game, spending hours training your team. The days of being a real Pokémon trainer are gone, with the XP share you have from the start of the game, as your party levels up super quick. You can also send Pokémon to do jobs, so they gain XP without even being in your party, as well as receiving XP boosts from raids. Having everything given to me just took away that feeling of working hard to achieve my goal of being a Pokémon master. As fun as Sword was, it doesn't compare the the likes of Silver, Gold, Yellow etc.Parents, if you're wanting to get your kids into Pokémon, the best thing you could do for them is get them an original Gameboy and then work them up to the newer games. Teach them the same resilience I was taught. Teach them about losing gracefully and about battling gym leaders over and over, not to mention the original Elite 4!",3,POKEMON,AMAZON,19,6,2020,Royaume-Uni
"I got this with my switch to pass the time over last Christmas.Firstly, i love all things pokemon however i haven't played a pokemon game (except pokemon go) since my Nintendo DS days.The game itself has good graphics and gameplay. It follows the usual story line of a trainer looking to become pokemon champion but in a new region/setting.If you like pokemon you probably will like the game as i did. The only downside i'd say is the gyms and how many trainer battles there are. I prefer the gym battles from the classic pokemon game where you had a bunch of junior trainers to avoid and battle as you wish. it just added a bit more of a dynamic.However i still enjoyed it overall and the nostalgia has got me getting my old DS out to play pokemon soul silver.",5,POKEMON,AMAZON,17,9,2020,Royaume-Uni
Llegó en excelente estado sellado con sus plásticos protectores originales de nintendo.,5,POKEMON,AMAZON,7,7,2022,Mexique
"Sadly the same old game.I adore the Pokemon franchise and don't want to put it down for the sake of it. I've played from the very beginning of red and blue and each series since. And I am a massive Nintendo fan boy.All that being said the game is just lacking, its the same old  Pokemon game but with some new Pokemon in it. The game was actually feeling fresh up until the 1st gym the wild area is a good idea and roaming Pokemon like go Pikachu and Eevee is a good step. But after that its just the same old Pokemon game, go do the gyms with final challanges. The characters are nothing exciting, not bad just ok. The music is dull again not bad but nothing is catchy more like its there for the sake of it.I will grant it looks nice, and not having an entire national dex isnt an issue, there is alot of new pokemon and alot of them feel well designed. Also the online aspect is decent.Im actually yet to view a single review as im not bothered by them until I've actually finished a game.The main line games need a big shakeup! An actual epic journey and story! I feel 3 stars is a fair review its it's certainly not a bad game just an average one. I will continue to love the franchise.",3,POKEMON,AMAZON,21,11,2019,Royaume-Uni
Arrived on time and works perfectly. Also more than a 10% discount from other major gaming retailers at the time of purchase.,5,POKEMON,AMAZON,15,5,2022,États-Unis
"Being an adult reminiscing the past I completed it in only three days, was fun while it lasted :(",4,POKEMON,AMAZON,6,1,2022,Royaume-Uni
very repetitive too much focus on graphics and the world itself but not the depth of the game itself,4,POKEMON,AMAZON,3,1,2022,Royaume-Uni
Loved it!,5,POKEMON,AMAZON,30,6,2022,États-Unis
I went into playing this apprehensive but am now pleasantly surprised. It’s actually quite entertaining. Give it a shot!,5,POKEMON,AMAZON,2,5,2022,États-Unis
"This is definitely one of my favourite pokemon games, the post game offers alot to do.",5,POKEMON,AMAZON,18,5,2022,Royaume-Uni
Product as advertised and prompt delivery,4,POKEMON,AMAZON,10,1,2022,Royaume-Uni
"Now hear me out, Pokémon is a anime/cartoon yes, and the games are somewhat based off of this. But, it seems that the imagination, is gone and a child is making up these new Pokémon that aren’t really unique. Granted there are some new ones in here, to me at least, that are new and pretty dope. I feel as if the game is to laid out  for the player there’s no thinking really involved anymore. It seems to easy now, that all Pokémon in the party get exp. Where as previous gens whichever Pokémon were involved got exp. Idk I think they should back track and find their imagination again.",2,POKEMON,AMAZON,30,7,2022,États-Unis
"Im going to be honest I really don’t know how I feel about this game .hence the one star drop ... I love the Pokemon games but to me so far it seems like a massive repeat of Pokemon we already encountered in other games and seems a handful of brand new ones,The graphics/colours are stunning and the game runs the same as the others no great surpriseNot sure how I feel about massive Pokemon if it was needed, sure it added a twist to the game and a level of hardness but I just don’t knowThe gym challenges are interesting I like this mini game type thingBut to be fair I’ve only gotten just passed the first gym",4,POKEMON,AMAZON,27,11,2019,Royaume-Uni
My son loves his game. He plays with aunt all the time.,5,POKEMON,AMAZON,10,4,2022,États-Unis
"Voor de mensen die ook in de verwarring zijn over de titel, het is Pokemon Sword met Engelse tekst op de game case (B07DMFDC6W)",4,POKEMON,AMAZON,25,1,2022,Pays-Bas
Reviews put me off playing this but tbh I'm glad in the end went with ignoring them an played it don't understand why ppl say it's a bad game I enjoyed it think it's a good pokemon game an keeps me entertained till arcues comes out,5,POKEMON,AMAZON,19,12,2021,Royaume-Uni
"The purchase was very quick and in good quality. This game is not as bad as you think or hear, I never listen to Social medias on internet when they are talking about how bad the game is going to be because of the limits thats made by the company.I had this game from lunch today and I still like playing this until now even though I've completed it.There's a lot of things that you can do in the end game and the fun never ends. There is more content coming soon and I'm looking forward to it.I highly recommend this game you're a fan of Pokémon or someone who is looking in to playing pokemon games.",5,POKEMON,AMAZON,21,1,2020,Royaume-Uni
"I started playing Pokémon red back in 1998 then had silver , ruby, pearl , white,white 2, sun then Sword , I've played Pokémon for over 20 years , alot of people seem to hate this game at first I was abit disheartened about it but thought id bite the bulletI do not regret it at all. It is so fun it's incredible , yes they cut Pokémon out but so what? There's so much to do and so many good Pokémon on this you forget to realise. I am hooked. it's everything good about Pokémon the world area is beautiful and the raid battles are immense.Honestly as a die hard Pokémon nerd get this game!!",5,POKEMON,AMAZON,9,12,2019,Royaume-Uni
"I picked up a Switch about a year ago, played a bit of Breath of the Wild. Then the switch sat in its dock for the next 9 months. I couldn’t find a game that enticed me enough to pick it up again. I spent hours as a 10 year old playing Pokemon Blue and I can safely say that I am just as addicted to Shield as a 30 year old! The gameplay and progression pace is good and enough to keep you hooked. Some of the new Pokemon are just outrageous but that’s part of the magic!",4,POKEMON,AMAZON,18,1,2020,Royaume-Uni
An amazing experience!,5,POKEMON,AMAZON,5,5,2022,Inde
Last pokemon I played was silver. Before that yellow. This new gen feels much more on rails but is still a real treat to explore. Graphics are pretty good too. Love the new features such as seeing wild pokemon (avoiding if you wish). I'm told bede is a dude but I'm not buying it. He/she will always be an old women with big grey perm in my eyes. ☺️,4,POKEMON,AMAZON,11,11,2020,Royaume-Uni
My darling grandson was so thrilled playing this game!,5,POKEMON,AMAZON,4,3,2022,États-Unis
"The game itself it's a masterpiece, if you love Pokemom you must have it. Nice ambients mix of mythology and postmodern ages. Still did not get why they made 2 different titles as It's very similar to Pokemon Shield with very small differences. So if you already have Pokemon Sword you will find this one a bit boring. 4 star as the Graphicx are slightly below the average of the Nintendo Switch games",4,POKEMON,AMAZON,15,8,2020,Royaume-Uni
"Lo compré como regalo para mi hijo, le encanto.Llegó antes de lo esperado.Satisfecho con esta compra",5,POKEMON,AMAZON,26,3,2022,Mexique
My daughter hasn't put it down since she got it.,5,POKEMON,AMAZON,16,2,2022,États-Unis
"Having not played Pokemon on a console since the DS Lite, these graphics are INCREDIBLE- also fun walking around and seeing Pokemon in the grass before encountering them. Not played through amazingly far yet but definitely enjoying it, although the exp split between all Pokemon makes it a bit easier than previous games to develop an equal party (but harder to make an absolute tank of a main pokemon). Definitely recommend!",5,POKEMON,AMAZON,18,4,2021,Royaume-Uni
"I've been a pokemon player since 1999 and heard a lot of negative reviews about the latest game. Ignore them. Though there are some aspects that could be tweaked and the story mode is a little bit handholdy at times, the game play is stunning and open world for the most part. The load times are fast and the online play and DLC are more than I expected. The extended maps are huge! Highly recommend.",5,POKEMON,AMAZON,1,2,2021,Royaume-Uni
"I honestly was hesitant after pre-ordering this game and seeing the leaks but I shouldn't have been! I had a great time playing and I've already sunk too many hours into Pokémon Sword.In my opinion, the Pokémon introduced (which I was worried about from the leaks) we're very unique and had personalities that just made them interesting. I also really enjoyed the concept of dynamaxing because I felt it was balanced (unlike mega evolution) and it added a bit of drama to the gym battles.I know a lot of people seem to hate sword and shield but I would really recommend this game!",5,POKEMON,AMAZON,20,11,2019,Royaume-Uni
"Aunque he comprado la versión inglesa, muy contento con la compra. Como es multilenguaje lo he configurado al español y sin problemas. Buenos gráficos y buen entramado en el juego.",5,POKEMON,AMAZON,24,6,2021,Espagne
"I bought this for my daughter for her birthday (27th) on the advice of her brother. I haven't seen her since tho I hear her run down the stairs on her way to work and back. Sometimes i hear the shower going too. Her brother (who is away at uni) tells me that she's getting thru the levels ..or something... and still having great fun with it. I might text her sometime. She'll have a beard by the time i see her next, I bet.So I think that counts as a recommend doesn't it? 😉",5,POKEMON,AMAZON,4,3,2020,Royaume-Uni
"I really rate this game, a lot of things to do post game to keep you coming back for more. Story is fun but not really long. The online games are where I have the most fun and there's a huge selection of online to help you work through the ranks",5,POKEMON,AMAZON,22,8,2021,Royaume-Uni
"Came well packaged and sealed, a great price when Nintendo refuses to drop the popular games in sales and always keep them at 49.99.",5,POKEMON,AMAZON,1,1,2022,Royaume-Uni
The game took me back to when I was a teenager well recommended,5,POKEMON,AMAZON,18,2,2022,Royaume-Uni
"Another good pokemon game, as a veteran of the franchise it felt shorter and easier to complete the main storyHowever the abundance of side content like the raid battles which you can do mostly solo if you want to does flesh out the overall time on the gameIf you stuck strictly to the story, gym badges and beating the champion and have pokemon experience it could take you only about 20 hours or so to finishLooking forward to the dlc this year",5,POKEMON,AMAZON,28,3,2020,Royaume-Uni
"I did enjoy this... Really I did, but it only gets three stars as I felt it was too linear. I've previously played blue, yellow and gold and thought this would be a cool first switch game. The graphics are incredible, the cut scenes look amazing. Because it's not got that realistic factor, everything looks so beautiful. However, I felt like I just did all the gym battles and that was it. There was a slight main story, but no adventures to go on alongside it. The version of team rocket was also awful. Team grunt who just cheer on a rival... I also found I didn't need to wander around leveling up my pokemon as they gained enough levels in the gym battles and the trainer battles you couldn't escape. It was a lovely pokemon experience, just too easy, quick and not enough. I hope next time they can up it.",3,POKEMON,AMAZON,12,12,2019,Royaume-Uni
This is a great game but for Pokémon standards can be annoying with all the cutscenes.,4,POKEMON,AMAZON,31,7,2021,Royaume-Uni
It's a very fun and enjoyable game.,5,POKEMON,AMAZON,13,1,2022,États-Unis
Excelente,5,POKEMON,AMAZON,20,2,2022,États-Unis
"Game is new and as described, but kids don't seem to play a lot with it 🙄",5,POKEMON,AMAZON,4,1,2022,Royaume-Uni
Not applicable; given as a gift!!!,5,POKEMON,AMAZON,15,1,2022,États-Unis
Good game for Nintendo switch for 7yo.,5,POKEMON,AMAZON,6,1,2022,États-Unis
"If you play each generation fresh, without importing your previous generations - or this would be your first pokemon game - it's overall a good game.The main cons are obviously that most of the pokemon not being present in the game, and the game is easy.However, I found the dialogue far less tedious than Sun/Moon, and the graphics are certainly good. It's a pokemon game at it's core.",4,POKEMON,AMAZON,18,11,2019,Royaume-Uni
Plays great. Came fast and as advertised.,5,POKEMON,AMAZON,2,1,2022,États-Unis
"Pokemon Sword is fabulous the graphics are stunning, music is incredible and the Pokemon are wonderful and the Galar region is based on the UK, I have played Pokemon since Generation 1 and I am 30 years old now and playing a new Pokemon game for the first time is still as fabulous as it always was cannot wait to play Shield.",5,POKEMON,AMAZON,3,1,2021,Royaume-Uni
"Antes de comprar haviam vazado várias avaliações negativas do jogo. Mas discordo completamente. Para mim foi o melhor jogo de pokemon já realizado, infelizmente não possui a pokedex completa e se vc desejar adquirir deverá ser por meio de DLC's, algo que a empresa nunca havia feito e aderiu nessa versão. As animações estão bem feitas, o jogo tem uma nova perspectiva, efeitos climáticos estão ótimos e possui muita aderência online para jogar com outras pessoas e participar de eventos. Recomendo para qualquer fâ do gênero de jogo e de pokemon.",5,POKEMON,AMAZON,6,2,2020,Brésil
Everything perfect!!!,5,POKEMON,AMAZON,24,2,2022,Royaume-Uni
Son absolutely loves it and it was just what he hoped,5,POKEMON,AMAZON,5,1,2022,Royaume-Uni
its a cool game but you can't transfer all the pokemon from lets go pikachu and evee,4,POKEMON,AMAZON,29,4,2021,États-Unis
"I took a break from the pokemon games, came back with playing pokemon sword, it's fantastic.",5,POKEMON,AMAZON,30,11,2021,Royaume-Uni
"If you are a fan of the original pokemon games, you would fit right in.It is relatively short but can offer you plenty of game mechanics to sink your teeth into this game.Offers a new battle system and colours are vibrant. Expensive but fun all round.",4,POKEMON,AMAZON,28,6,2020,Royaume-Uni
Really fun game and amazing graphics as well,5,POKEMON,AMAZON,18,11,2021,États-Unis
Waiting for Christmas to give this as a gift,5,POKEMON,AMAZON,8,11,2021,États-Unis
Another brilliant edition to the pokemon franchise! Stunning visuals beautiful pokemon and a great story,5,POKEMON,AMAZON,14,11,2021,Royaume-Uni
Was a gift and enjoyed it very much,5,POKEMON,AMAZON,15,11,2021,États-Unis
"Not too sure why this game got a bad rep. I thoroughly enjoyed playing it. It does however lack a lot of the Pokemon you would expect in the earlier generations, although the game is fun nonetheless.Don’t let a mob mentality prevent you from purchasing a game. Get it, play it, if you don’t like it then life continues.Personally loved this game. I highly recommend it to anybody.",5,POKEMON,AMAZON,11,4,2020,Royaume-Uni
Great gift,5,POKEMON,AMAZON,18,12,2021,États-Unis
"What a fantastic product, and a great seller too!",5,POKEMON,AMAZON,30,10,2021,États-Unis
"Really enjoyed this pokemon iteration, sadly the netcode is horrible, I'd check for dynamax raids and it'll show expired ones or just not refresh, on a side note the performance is horrible constant framerate drops (mainly im the big grass areas)",4,POKEMON,AMAZON,21,7,2020,Royaume-Uni
Who doesn't love a pokemon game? I have bought all of them since I was a young boy who received pokemon red for Christmas.Great game with all the fun you would expect from the pokemon team! Also some lovely new additions.,5,POKEMON,AMAZON,24,4,2021,Royaume-Uni
Great game,5,POKEMON,AMAZON,5,12,2021,États-Unis
"Really enjoyed the game. Been a Pokemon player for a long time and to see it in this way was so refreshing. Lots of people say it’s too short but if you take your time, gather Pokemon etc then I racked up 75 hours easy. It is an easy game though, but just don’t use too high level Pokemon and it’ll be more or a challenge. Overall great experience.",5,POKEMON,AMAZON,20,2,2020,Royaume-Uni
Briliant game but lacks many of the first few gen characters and after the game is done to progress you need to buy the dlc. I would like a bit of nostalgia if they included more of the Pokemon from the first few gens but Nintendo said they should be added in the dlc.,5,POKEMON,AMAZON,25,8,2020,Royaume-Uni
Good game but lack of content for me love it tho,4,POKEMON,AMAZON,16,1,2021,États-Unis
I never liked Pokémon until I played this game TEAM ZACIAN,5,POKEMON,AMAZON,15,9,2021,États-Unis
As advertised!,5,POKEMON,AMAZON,13,12,2021,Royaume-Uni
"It’s a wonderful update to the formula, though it doesn’t rewrite the core dynamic that has made Pokemon such an enduring phenomenon. It works because it’s what you expect, however part of me wished it had more content and more of a unique style.",4,POKEMON,AMAZON,9,1,2020,Royaume-Uni
I bought this for my son as he likes pokemon.,5,POKEMON,AMAZON,17,10,2021,Royaume-Uni
I've played it and enjoyed it. My son who is 9 has been playing since release and not stopped. The few downsides have been addressed and is a good way to get into the games as a starting point for new players.,4,POKEMON,AMAZON,31,1,2020,Royaume-Uni
"Ok, I haven't played it but I remember completing Pokémon Red a number of years ago.This time my 18 year old and 9 year old are playing and as I haven't seen either for a week I guess they're enjoying it.Best thing about this game is multiple players can have their own adventure, something the Gameboy versions couldn't do. So one copy is enough for everyone",5,POKEMON,AMAZON,21,11,2019,Royaume-Uni
Overpriced but a good game,4,POKEMON,AMAZON,24,4,2021,Royaume-Uni
"I bought this game for my 8 year old son and he thoroughly enjoyed this game! Hours of fun, he has completed the game a couple of times and still continue to play it. He said "" It the best Pokemon game that he has played"". I would definitely recommend this game to all Pokemon loves!!",5,POKEMON,AMAZON,3,6,2020,Royaume-Uni
Exactly what I wanted & ordered.,5,POKEMON,AMAZON,25,10,2021,Royaume-Uni
came on time excellent condition game play is standard pokemon fair just like the other titles in the series walk around collect pokemon battle trainers become the best,4,POKEMON,AMAZON,12,4,2020,États-Unis
The game has received a lot of uneeded criticism that it does not deserve.Sure not all 900 pokemon are in it but in their place there are so many fantastic new ones.the game is a great one and is one of my favourites to date.If you give this game a chance it will not let you down so please give it a shot!,5,POKEMON,AMAZON,13,12,2019,Royaume-Uni
My son loves this game. Cool graphics and easy to play. Its interesting and fun.,5,POKEMON,AMAZON,10,5,2021,États-Unis
"This game is cool to have a first experience on Nintendo Switch. If you have not played Pokemon Let's Go Pikachu or Eevee, the experience is really impresive, but the pokemon of this new generation are not a big thing. The gym battles are too easy and even the Tournament is not challenging at all.Apart from that, is a pretty chill game. I loved the option of camping with your party.",3,POKEMON,AMAZON,21,3,2020,Royaume-Uni
"While the game itself does have some quality issues, it is nonetheless very fun to play, which is honestly what I most care about. Great if you're new to Pokemon.",4,POKEMON,AMAZON,27,2,2020,États-Unis
"Digital copies are the best because they will always be yours. That being said, the game came in brand new quality, and the game case is also new. The designs and the game itself is really awesome, definitely worth it!",5,POKEMON,AMAZON,8,6,2020,États-Unis
"As I should have noticed in the rating in the corner, it says Pegi. I feel like the seller should have made sure to tell buyers that this is not a US copy in clearer terms. I guess people like me just need to read better next time.",3,POKEMON,AMAZON,11,3,2021,États-Unis
I do not play the game but my boys sure do like to play it.,5,POKEMON,AMAZON,12,4,2021,États-Unis
Product is a Christmas present.,5,POKEMON,AMAZON,6,10,2021,Royaume-Uni
"such a well made game, as someone from the UK the architecture and music make it feel just like home. some of the dialect is rather cheesy though",5,POKEMON,AMAZON,17,5,2021,Royaume-Uni
"Love it! It's most likely the perfect pokemon game for anyone that hasn't played the series before, as well as being great fun for long-time players! New features, new pokemon, new graphics! And expansions announced!",4,POKEMON,AMAZON,19,1,2020,Royaume-Uni
My kid loved it,5,POKEMON,AMAZON,20,9,2021,États-Unis
"We brought as we knew our family member wanted this game in particular, it was played with straight away and still is a few weeks on, as with all these kind of games you never seem to get to the end just keep finding more Pokémon, it well played with and highly recommend to any gaming and Pokémon fans.",5,POKEMON,AMAZON,12,1,2020,Royaume-Uni
"What the old games had that this doesn't:PuzzlesSpooky areasTeam rocketGrindHarder gym battlesBetter musicThe use of Pokémon moves to solve and travel to places e.g. fly, rock smash, boulders, torchBetter cavesBetter storiesA sense of evilBetter NPCs 99% of the NPCs have boring dialoguePokémon contestsGamblingA likable professorBetter starter PokémonI'm sure there's more but thats what I can think of right now",3,POKEMON,AMAZON,13,12,2019,Royaume-Uni
Such a good game! You can’t beat Pokemon. Suitable for kids and adults. I mean I’m nearly 30 and still want to buy the new game every time it comes out XD,5,POKEMON,AMAZON,16,2,2021,Royaume-Uni
Son was so excited!! Game was delivered quick. No issues at all!! Thank you!,5,POKEMON,AMAZON,7,3,2021,États-Unis
"If you like Pokemon then you’ll like this game, perfect to pass the time if you like Pokemon, all the old classic gameplay with much better graphics and some new gameplay, this was perfect for killing time during lockdown",5,POKEMON,AMAZON,20,9,2020,Royaume-Uni
"Despite what people were saying about Sword and Shiel, I still love the game and am enjoying the gameplay a lot.Has great new Pokemon up for offer, I love the gyms and there is a lot of character personalisation.Only downfall is that they could have spent more time with the story as some parts felt flawed.",5,POKEMON,AMAZON,1,12,2019,Royaume-Uni
"I’ve always bought the pokemon games, just seems this one is far to easy, completed it within 3 days didn’t really feel like a challenge like the old ones",4,POKEMON,AMAZON,8,2,2020,Royaume-Uni
Grandson had as a gift and has enjoyed using it. Value for money and lots of interactive features,5,POKEMON,AMAZON,4,7,2021,Royaume-Uni
"Brilliant game! Completed the main storyline  in a weekend wish it was longer! But still loads to do to complete my Pokédex, love the new Pokemon and the Max Raids 😍",4,POKEMON,AMAZON,9,12,2019,Royaume-Uni
My 8 year old absolutely loves this game. Finds it easy to play and recommends to all Pokemon fans!,5,POKEMON,AMAZON,26,6,2021,Royaume-Uni
Daughter loved the game. Fast delivery as well. Top notch,5,POKEMON,AMAZON,21,4,2021,États-Unis
Won't know til after Christmas,3,POKEMON,AMAZON,6,12,2021,États-Unis
"Great game, graphically amazing for a Pokemon game, no bugs encountered, great fun. Only problem is the limited Pokédex meaning u can’t catch all the Pokemon from every other region.",4,POKEMON,AMAZON,16,12,2019,Royaume-Uni
"My daughter I'd a big Pokemon fan. Its OK if your into these games but its not really anything special. A lot of Pokemon were taken out of this game and will be added as payed DLC. If your not a fan of these games you can find much better games to play, if you are a fan then you will no doubt buy regardless.",3,POKEMON,AMAZON,12,2,2020,Royaume-Uni
Really good and fun game lots to do don't be put off by bad reviews it's a must play for pokemon fans true fans I mean,4,POKEMON,AMAZON,1,2,2020,Royaume-Uni
"Bought this for myself after reading the reviews. I haven't fully played a Pokemon game in years, so it took some time to get used to, particularly with all the newer pokemon and the Dynamax phenomena. But it's a terrific game, great experience for beginners and experienced gamers. Really fun! Highly recommended.",5,POKEMON,AMAZON,7,1,2020,Royaume-Uni
Muy buena llego a tiempo,5,POKEMON,AMAZON,15,6,2021,États-Unis
Really fun game,5,POKEMON,AMAZON,21,7,2021,États-Unis
I haven't played a pokemon game since about 2009 and it was great to kind of reminisce,5,POKEMON,AMAZON,14,11,2020,États-Unis
Highly recommend this game I love it so much and I’m obsessed and I love seeing all the original pokemon from when I was little,5,POKEMON,AMAZON,17,2,2021,Royaume-Uni
Works as expected. My kids love the game!!,4,POKEMON,AMAZON,7,7,2020,États-Unis
"Possibly the best pokemon to date, Post game is great graphics are nice but still not quite on the level of the other consoles but a big improvement on the 3ds graphics. Not much to say really if your a fan of pokemon you know what you getting 8 out of 10",5,POKEMON,AMAZON,29,11,2019,Royaume-Uni
"A gift for my Grandaughter , she loves the game",5,POKEMON,AMAZON,27,2,2021,États-Unis
I bought this for my son and he loves it apparently he completed the game to fast but is having trouble completing the Pokédex  it is full of 400 Pokemon and he only has this one so he can’t get the exclusives yet we’ll done game freak,5,POKEMON,AMAZON,22,1,2020,Royaume-Uni
Great game not difficult and plenty entertaining,5,POKEMON,AMAZON,11,4,2021,États-Unis
Enjoyed playing this pokemon again after years away from the series.,4,POKEMON,AMAZON,21,8,2020,Royaume-Uni
My 10 year old daughter got this game with her birthday money and loved it! Every time I saw her she was on the switch playing great game and worth the price :D,5,POKEMON,AMAZON,31,8,2020,Royaume-Uni
Reasonable priced Pokemon game that my kid loves,5,POKEMON,AMAZON,12,3,2021,États-Unis
What more to say. Good customer service from Amazon.,4,POKEMON,AMAZON,7,9,2020,Royaume-Uni
Would have loved a more modern take for the Pokemon franchise on the new gen console but this is just a rehash of the same old game with slightly updated art models. Old regular pokemon game players can skip this one... players who haven't played in a long time might enjoy a return the pokemon world.,3,POKEMON,AMAZON,31,3,2020,Inde
Grandson was so happy when he got his game off me  im his best ever nana-d hes just adorable,5,POKEMON,AMAZON,19,3,2021,Royaume-Uni
Good games.,4,POKEMON,AMAZON,29,11,2020,Royaume-Uni
Appears to be the game of choice for our son although hesitated on purchase due to more 👎🏻 Reviews than 👍🏻 Up,4,POKEMON,AMAZON,5,1,2020,Royaume-Uni
Bought this for my 8 year old nephew who wanted this for his Nintendo switch. He is enjoying it thoroughly and says its very fun. Would highly recommend for children around his age.,5,POKEMON,AMAZON,27,7,2020,Royaume-Uni
"I enjoy it a lot it had lots of exiting adventures,I enjoyed it a lot many different pokemon finished credits and storyline but still got more to do after you catch the legendary zemazenta or zacian depends on game amazing for Pokemon fans.",5,POKEMON,AMAZON,18,2,2020,Royaume-Uni
It is very fun but when you finish the game it is very boring unless you buy the expansion pass,5,POKEMON,AMAZON,5,4,2021,Inde
Really good game mechanics. Love the region. A little bit too easy to level up Pokémon but that is expected from Nintendo Pokémon games.,5,POKEMON,AMAZON,19,2,2021,Inde
Good game arrived on time super fun,5,POKEMON,AMAZON,1,3,2021,États-Unis
Loved the fame for his brand new Nintendo switch system he got for his bday,5,POKEMON,AMAZON,22,9,2020,États-Unis
"Official Unit. I was a bit annoyed when Amazon failed to deliver it for the release date, but doesn’t fault the actual game itself. Challenging and fun.",5,POKEMON,AMAZON,8,10,2020,Royaume-Uni
Really cool game. Look forward to seeing what the game has in store for me.a must-have surely!,4,POKEMON,AMAZON,27,1,2020,Royaume-Uni
"Ordered this after looking for the best price everywhere. It arrived quickly, well packaged and everything was there that needed to bem what more can I say? Thank you! :)",5,POKEMON,AMAZON,19,7,2020,Royaume-Uni
My husband and I had brought both of these new Pokemon games for ourselves being big lovers of the previous games. I loved the new graphics and the game story of the Galar Region. I would definitely recommend this game to any Pokemon lovers out there!,5,POKEMON,AMAZON,23,11,2019,Royaume-Uni
"Fairly repetitive game and kinda boring - I haven’t played Pokémon before and I ended up buying Pokémon Let’s Go after playing this one for a few hours, just because it has the Pokémon I’m familiar with from the tv show in the early 2000s.",3,POKEMON,AMAZON,11,8,2020,États-Unis
"- En buen estado en cuanto a envios y manejo, excelente en este aspecto.- EL JUEGO en si es muy aburrido y sus personajes no generan buena relacion con una historia tan infantil.- Para un niño es perfecto.- Con servicio de envio a Colombia/Bogota.",2,POKEMON,AMAZON,23,12,2021,États-Unis
"I purchased this item for my grandson, per his request. It arrived very quickly.",4,POKEMON,AMAZON,11,12,2019,États-Unis
It is an awesome game just about loving playing it non stop.,5,POKEMON,AMAZON,4,6,2021,Inde
"I loved this game. It was great to see a whole new land and new Pokemon. I spent a lot of time completing the story and then working on the pokedex, as well as doing the post-game content.",5,POKEMON,AMAZON,23,2,2020,Royaume-Uni
"I have played all previous Pokémon generations, and even though this game had negative opinions, I bought it anyways and it was very fun. Even purchased the DLC!",5,POKEMON,AMAZON,7,8,2020,Royaume-Uni
Fun and POKEMON!,5,POKEMON,AMAZON,1,8,2021,Royaume-Uni
The supplier provided quick despatch but the product itself from Nintendo was poor. I finished the game in under 20hrs without really trying very hard. Pretty but lacking content,3,POKEMON,AMAZON,15,1,2021,Royaume-Uni
"Was bought for my son, he absolutely loved it",5,POKEMON,AMAZON,30,4,2021,Royaume-Uni
"Played it for a few hours since delivery its a good game haven't noticed any issues like reported all over the Internet, have enjoyed it so far not a bad game does not deserve all the negative reviews it's still fun enought if you are unsure about buying it pick it up give it a go entertaining",5,POKEMON,AMAZON,15,11,2019,Royaume-Uni
Item new and sealed as described fast shipping no complain at all!,5,POKEMON,AMAZON,12,4,2021,Royaume-Uni
Great game if you have more than one kid buy more than one copy,5,POKEMON,AMAZON,23,8,2020,États-Unis
Yes,5,POKEMON,AMAZON,20,5,2021,États-Unis
Arrived in great condition and faster,5,POKEMON,AMAZON,24,1,2021,États-Unis
Great game,5,POKEMON,AMAZON,24,4,2021,États-Unis
Pokémon sword is the best Pokémon game ever,5,POKEMON,AMAZON,30,6,2021,Inde
My grandson loves his game,5,POKEMON,AMAZON,3,2,2021,États-Unis
"Great graphics compared to eevee go, great storyline,  fun to play.",4,POKEMON,AMAZON,18,3,2020,Royaume-Uni
Exactly as described. Game loads and works perfectly.,5,POKEMON,AMAZON,3,5,2021,Royaume-Uni
"My ten year old is Pokemon mad. This game just upped the stakes. His comments, graphics are not good, they are brilliant, game play ,.......quiet Dad can't concentrate with you talking .. need I say more?",5,POKEMON,AMAZON,3,2,2020,Royaume-Uni
Justo lo que se espera,5,POKEMON,AMAZON,11,1,2021,États-Unis
Love this game!!!,5,POKEMON,AMAZON,12,3,2021,États-Unis
The game was good but switch went out so I got a refund. Been waiting since April 11.,3,POKEMON,AMAZON,1,5,2021,États-Unis
"The case came sealed, game inside, works fine on my switch.",5,POKEMON,AMAZON,17,3,2021,Royaume-Uni
Really exciting to play! I am a big fan of Pokemon and have played many series. No matter player view or battles or gyms is wholly different and story is really interesting. I strongly recommend it!,5,POKEMON,AMAZON,17,1,2020,Royaume-Uni
"This is a classic example of a Pokemon game. For those adult players like me, if you're expecting something new and exciting from what you've played before play something else you'll end up disappointed.",5,POKEMON,AMAZON,1,3,2020,Royaume-Uni
My son was so happy with the game,4,POKEMON,AMAZON,18,5,2020,Royaume-Uni
A great pokemon game my favourite pokemon game is x and y and this is a great follow up.The worst is let's go pikachu and eevee.5 stars,5,POKEMON,AMAZON,15,4,2020,Royaume-Uni
"although underwhelming at points, a few highlights and fun overall gameplay experience",4,POKEMON,AMAZON,17,2,2020,Royaume-Uni
