Content,Stars,titre,origine,jour,mois,année,Pays
"Excellent graphics, excellent sound effects and an all round excellent game! Little has changed from the original, the aim is to race as fast as you can, dodging obstacles and other opponents attempts to thwart you whilst attempting to collect as many boosts as you can on the way around the track. It's a really entertaining game which can be played by either one player or several. Personally I prefer 2 player. I would really recommend purchasing an extra Wii wheel for two player, it really makes a difference for the whole player experience. Finally, don't worry about getting an authentic Nintendo wheel - I bought a spare wheel which wasn't made by Nintendo and it does just as good a job.",5,MARIO KART 8 DELUXE,AMAZON,27,4,2013,Royaume-Uni
Happy with the service and the product.Only downside was that I didn't realise it doesn't let you use your MiiWii as your chosen character in the games - as it's an older version. That was probably my fault for not checking the version BUT for future reference to other customers check versions are what you want and think they are.The game is very addictive and great for social meetings of all ages. The hardest part is getting people to stop playing and share!,4,MARIO KART 8 DELUXE,AMAZON,25,2,2013,Royaume-Uni
"this game was bought for my daughters 6th bdayshe luvs it and so do ithis game is brillant we have 2 wheels so we play togetherit is so much fun - you can chose from 12 characters to start with as you progress you get more characterscharacters u can have are ;-donkey kongwaluigiwariobaby mariotoadmarioyoshibaby peachkooper trooperluigipeachbowseryou can also chose various different bikes and carsthere are lots of differentlevels to do great fun as you travel you can get specials eg - throw banana skins,u turn into a rocket,speed up,turtle shellsthe wheels are very easy to use",5,MARIO KART 8 DELUXE,AMAZON,4,9,2011,Royaume-Uni
"Mario Kart WII,Habe das Spiel bei Amazon bestellt, Der Versand erfolgte wie fast immer recht zügig. Kaum war das Spiel angekommen habe ich es voller Erwatung ausgepackt in die Konsole gesteckt und zusammen mit meiner Frau und meiner Tochter los gespielt. Das Spiel hat uns sofort für einige Stunden an den TV Bildschirmgefesselt. Das Gameplay so wie der Spaßfaktor des Spiels ist Genial.Es macht Riesen Spaß seine Gegner mit Schildkröten-panzern, Bananen Pauzatacken oder ähnlichen Fiesen Fallen das fürchten zuleeren. Im Fortschritt des Spiels werden dann je nach Erfolg diverse Strecken und Spielcharaktere frei-gespielt.alles In Allem ist das Spiel ein packendes Rennabenteuer um Mario und Ko, Ein Spass für die ganze Familie.Klare Kaufempfehlung !!!",5,MARIO KART 8 DELUXE,AMAZON,6,8,2012,Allemagne
"Echt gut....von mir aus hätte nicht die Hälfte Retro-Level sein müssen, da die neuen Level echt toll sind. Aber da ich nur ein paar DS Level und N64 kannte (ca4 Stück) ist auch das okay. Das Spiel läßt sich prima steuern, die Stunt möglichkeit mach super Spaß um Turbos anch Sprüngen zu ergattern. Übers WWW spielen istecht nett, grad mit ""echten"" Freunden. Aber natürlich unschlagbar ist das spielen zu viert live davor. Ein Gaudi ohne Ende auch für die Spieler der ersten Generation :-)DAs Lenken empfehle ich über Nunchuck, aber ich hab schon echt gute Lenkrad- Lenker gesehen. Das Lenkrad selbst ist nur eine Plastikhalterung für die Fernbedienung, aber eine nette Haptik :-)",5,MARIO KART 8 DELUXE,AMAZON,21,1,2013,Allemagne
"Pros:Fun game that can be played with friends and family.The wheel shaped controller adds an extra dimension to the game.Amazing looking courses, that genuinely offers different levels of difficulty.Courses from older games are included which is extremely nostalgic!Cons:Sadly the Wii's graphics are not very crisp so a lot of the footage seems a bit dated.The lack of variety when it comes to perks, no one wants a banana skin when they are first.The inevitability of getting hit by a blue shell if you are first and other failed game patterns.",5,MARIO KART 8 DELUXE,AMAZON,17,4,2014,Royaume-Uni
"Un juego muy recomendado para la Wii, tanto para los más pequeños de la familia como para los adultos que quieran pasar un buen rato. Es muy sencillo de jugar y contiene muchos circuitos, por lo que hay juego para rato. Permite hasta cuatro jugadores al mismo tiempo.El volante está bien, pero es simplemente un trozo de plástico donde se inserta el mando, así que los botones siguen siendo los del propio mando. Personalmente, me parece mucho más cómodo jugar con el mando en sí en una mano (acelerar y frenar) y el Nunchuck en otra, aunque esto ya es cuestión de gustos.",5,MARIO KART 8 DELUXE,AMAZON,7,1,2012,Espagne
"My favourite game on the wii so far and words can't describe how addictive it is! It literally appeals to everyone, including us oldies of the family, so much so that my wife and I were playing it well into the wee small hours on Xmas day. The online competition is a brilliant feature although it leads to lots of frustration on my part when competing against those seriously hard core gamers out there...but my time will come bwah ha ha ha haaaaaa. Can't wait for Mario Kart II and in the meantime I'll book myself in to a rehab clinic to get over this one. Enjoy!",5,MARIO KART 8 DELUXE,AMAZON,27,1,2011,Royaume-Uni
"We've had a Wii in the family for a few years now, but the lonely old thing wasn't getting used very much.  I saw Mario Kart on Amazon and whilst I knew the game was old, I also knew it was popular.  I purchased the game and an additional steering wheel and now I cannot feel my right thumb, my neck aches and I'm terrified of bananas.  I also have not seen daylight since December.If you want a simple yet fun game that will steal your soul in a matter of hours this is definitely the game for you.",5,MARIO KART 8 DELUXE,AMAZON,30,1,2012,Royaume-Uni
Really disappointed as the game seemed like it was going to work but as soon as I went to start the race it would say an error has occurred. Not impressed as all the other reviews had been really good and everyone else’s game seemed to be working.,1,MARIO KART 8 DELUXE,AMAZON,17,3,2022,Royaume-Uni
Super Spiel Kind glücklich,5,MARIO KART 8 DELUXE,AMAZON,5,7,2021,Allemagne
"War für meine Kinder gedacht und es hat sich voll rentiert. Es ist eine spannende Sammlung von Abenteuer, die man alleine oder mit mehreren absolvieren kann, man kann viel einstellen und es ist sogar beim zugucken spannend (an die Geräte komme ich als Erwachsener sowieso nicht mehr ran). Die Kinder sind voll dabei udnvergessen die Welt um sich herum. Kann sehr gut als Babysitter eingesetzt werden, wenn man interessante Dinger vorhat (wie Zeitschriften oder Bücher lesen, mit der Ehefrau ausgehen, Freunde in aller Ruhe besuchen -  dann sind auch deren Kinder mitbeschäftigt, auf eine Weihnachtsfeier gehen usw.). Kanns nur empfehlen!",5,MARIO KART 8 DELUXE,AMAZON,13,12,2012,Allemagne
"This has got to be one of the best racing games I have ever played. There's a big choice of characters and vehicles to choose from, and numerous race courses, all of which are added to as you progress through the game. My one downer on this, is that the better you get, the more the game hammers you, to a point where it just keeps knocking you off the road so many times, you end up coming in last! That said, overall it's a fun and very enjoyable game. One of these days I will beat it!!!",5,MARIO KART 8 DELUXE,AMAZON,20,4,2012,Royaume-Uni
"The menu system is not the most intuitive in the world. (Adding a second remote/wheel is cumbersome to say the least.)Once you've got through that, it's a good game, if a bit repetitive.The one feature I would have liked is the ability to give the age of a child playing the game, so that it changed the behaviour to automatically keep them on the road more. It's no fun for a four-year-old to be stuck against a fence and not having the ability to get back on track. It would be better if it allowed kids' driving to be artificially enhanced a bit to give them more fun.",3,MARIO KART 8 DELUXE,AMAZON,15,1,2012,Royaume-Uni
"Sehr schönes Spiel für die ganze Familie und mit Lenkrad machts noch mehr Spaß, hab mir direkt noch weitere Lenkräder bestellt!Pro:-Hier hat man auch Karts und Motorrädern mit verschiedenen Attributen!-Alte Strecken aus vorigen MarioKarts sind auch mit inbegriffen! :D-Man hat also die neuen und alten gemischt, sehr sehr schön!Klare Kaufempfehlung, war auch innerhalb 2 Tagen angekommen!Contra:Das einzige was ich schade finde, ist dass mir dieser Double Dash modus sehr gefallen hat, dass Nintendo den nicht auch in die Wii-Version miteingebunden hatGrußDanny",5,MARIO KART 8 DELUXE,AMAZON,12,4,2013,Allemagne
"The review is purely on cash converters where I bought this from through Amazon, although the disk is in good nic, the steering wheel is filthy and well used, also it didn't come in the outa box like in the picture, I'm not sure whether it said this in the discription but I was quite disappointed as when giving something as a gift, it's nice for it to look as perfect as possible. Apart from that... It's mario kart so woohoo!",3,MARIO KART 8 DELUXE,AMAZON,13,5,2015,Royaume-Uni
"I was torn between this and Sonic and Sega All-Start Racing, as a present for my son, and am glad I went for this. The game play seems to be more natural, with plenty of new characters to unlock and a variety of tracks to drive. He enjoys it a lot and the wheel makes the game-play feel just that little bit more realistic. Well, as realistic as it can be when dodging giant mushrooms and driving along tree branches...",5,MARIO KART 8 DELUXE,AMAZON,22,7,2013,Royaume-Uni
Classic game with the best racing game experince on the Wii most definately. With the Wii wheel thrown in too this just makes mario kart a new & exciting experience packed with fun from young to old. With the Wi-Fi support on this game being faultless! this only adds to make it the complete game & my personal favourite on the Wii still to date.Presentation - 4/5Graphics - 4/5Sound - 5/5Gameplay - 5/5Overall 4.9/5,5,MARIO KART 8 DELUXE,AMAZON,28,12,2010,Royaume-Uni
"dieses Spiel ist echt witzig vorallem die ersten paar Runden bis man sich an die Lenkung gewöhnt hat haben mein Mann und ich uns Scheckig gelacht weil wir überall gefahren sind nur nicht auf der Straße.Für die Kids ist das Fahren mit dem Lenkrad um einiges einfacher als mit dem Controller.Man kann auch noch Kurse frei fahren in dem man die Wettfahren gewinnt. Ob man auch neue Fahrer oder Fahrzeuge frei spielen kann, kann ich euch noch nicht sagen so weit bin ich noch nicht.",5,MARIO KART 8 DELUXE,AMAZON,23,8,2013,Allemagne
"We all love this - doesn't matter what age you are, it's just loads of fun!  Definitely buy it!You get a wheel with it but you can play the game with just the usual controller or with a nunchuk fitted so there is no need to buy other wheels until you've given it a go and decided which you prefer to use.  My son loves the wheel but my daughter prefers to use the nunchuk.",5,MARIO KART 8 DELUXE,AMAZON,22,3,2010,Royaume-Uni
"Dieses Spiel hat meine Tochter zum 8.Geburtstag bekommen.Es wurde natürlich gleich ausprobiert. Die Handhabung ist ganz einfach, nur den Controller ins Lenkrad einstecken und schon kanns losgehen. Es gibt viele Charaktere und verschiedene Fahrzeuge, welche man auf den verschiedenen Parcours gegeneinander antreten lassen kann. Man kann aber auch mal alleine fahren. Meine Mädels haben sehr viel Spaß beim Spielen und auch der Papa kann nicht genug davon kriegen. Wir haben noch ein extra Lenkrad dazu gekauft, da im Spiel nur ein Lenkrad vorhanden war. Also alles in Allem ein schönes Rennspiel zum Zeitvertreib.",5,MARIO KART 8 DELUXE,AMAZON,11,3,2012,Allemagne
My son had to wait ages to get this as he asked in January for his birthday present!  Bless him!He says is it worth the wait.I agree it is fun and all Super Mario ish.The only downside is the music which in typical super mario world does have you thinking well after the game has been played!,4,MARIO KART 8 DELUXE,AMAZON,30,11,2011,Royaume-Uni
Super schnelle Lieferung und Ware fast wie neu.,5,MARIO KART 8 DELUXE,AMAZON,16,1,2021,Allemagne
"This was bought for my 10 year old daughter.  She loves the challenges set by the game and has mastered most of them, finishing in the top 4 in most races. I, however, find it extremely frustrating and can seldom get beyond 12/12, but guess that's more to do with my age!",4,MARIO KART 8 DELUXE,AMAZON,29,3,2013,Royaume-Uni
"Das Spiel kann ich nur wärmstens empfehlen, vor allem wenn amn es als Familie nutzen will!Das Wii Lenkrad ist eine nette Unterstütztung, die man aber mit etwas Übung nicht braucht, denn man kann die Fernbedienung in Querhaltung als lenkrad nutzen, oder Senkrecht mit Nunchuck.Was etwas schade ist, ist, dass es keine Beschreibung mitgeliefert gibt zu den Entsprechungen der Steuerknöpfe zwischen beiden Varianten. Dadurch hat man evtl. Nachteile im Spielverlauf, weil man Funktionen (z.B. Dirften) nicht ausführen kannAnsonsten würde ich es wieder kaufen!",5,MARIO KART 8 DELUXE,AMAZON,4,3,2013,Allemagne
Also jeder der Eine Nintendo Wii hat muss einfach Mario Kart Wii haben. Hier kann man zum ersten mal mit einem Bike fahren und die sind echt super. Ihr gibt es nicht nur 16 neue Strecken sondern auch 16 Remake Strecken aus vorherigen Mario Kart Titeln. Natürlich gibt es auch neue Items und auch einen Online Modus. Man kann weltweit mit anderen Spielern online Mario Kart fahren und das finde ich super. Mann kann auch bis zu 30 Freunde in der List registrieren und dann mit denen fahren.,5,MARIO KART 8 DELUXE,AMAZON,7,12,2012,Allemagne
"I can't rate the product because it didn't come out of the box BUT i wanted to let you know the fabulous customer service i received. Unfortunately this was a gift that could never be given because they then didn't get a wii so I had to return it.This went very smoothly with no problems, great communication, clear instructions and a full refund minus postage. I couldn't see where I could recommend the seller so have written it here.",5,MARIO KART 8 DELUXE,AMAZON,6,4,2013,Royaume-Uni
"Very good item, Arrived a little late but that was more than likley down to Royal mail. Overall very happy",4,MARIO KART 8 DELUXE,AMAZON,15,3,2018,Royaume-Uni
"This is an excellent game for the house, we play all the time and have a great time. Also can be used on WIFI so I can play against my parents who live on the other side of the world.Comes with a nice nintendo wii but does NOT have a remote.If I had to chose between games, this is my favorite. Great fun and definitely recommend!",5,MARIO KART 8 DELUXE,AMAZON,11,4,2010,Royaume-Uni
Wer dieses Lenkrad bis jetzt noch nicht hatte sollte es sich auf jeden Fall loslegen. Es steigert den Spielspaß um ein vielfaches! Zum Spiel muss man nicht viel sagen. Ein richtiger Klassiker der süchtig macht! Ob jung oder alt spielt keine Rolle.,5,MARIO KART 8 DELUXE,AMAZON,11,6,2019,Allemagne
"i don't play the wii that often but its a great thing to use to kill time when you have visitors around! ;). Still very fun to play and the battle modes I find are probably more fun than the races themselves. Also you don't really need a wheel, its nice to have but i usually let someone else use it as I'm fine using the wii remote horizontally.",5,MARIO KART 8 DELUXE,AMAZON,2,4,2014,Royaume-Uni
"Dieses Spiel kenne ich noch von früher und dachte als ich es gesehen habe, dass es diese Spiel jetzt auch für die Wii gibt, dass es fast identisch ist. Allerdings macht das Spiel nur richtig viel Spaß, wenn man es alleine Spielt.Zu zweit gibt es kaum Strecken und es wird ziemlich schnell langweilig.Insgesamt gefallen mir die Jump-and-run Spiele von Mario auf der Wii um einiges besser, wenn man mit mehreren Leuten spielen will.Das besondere an diesem Spiel ist natürlich das Lenkrad, in dem man die Wii-Fernbediehnung befestigen kann.",4,MARIO KART 8 DELUXE,AMAZON,30,6,2011,Allemagne
I am a fan of most Nintendo products and mario kart Wii being one of the better games. As if you use the Wii wheel it add some more realism into the game instead of using the joy stick. And it is a game you can play with most age groups. and i like how in incorporates most of the courses from the older games. this is a must have game for Wii gamers,5,MARIO KART 8 DELUXE,AMAZON,14,7,2011,Royaume-Uni
Bought this for my 5 year old boys to play with this easter in case it rains and i'm so glad i did they've had brilliant fun on it. They have mario kart on the ds so new how to play already but the steering wheel makes it all the more fun and i must admit i enjoy playing it too when they go to bed.,5,MARIO KART 8 DELUXE,AMAZON,13,4,2014,Royaume-Uni
Mario Kart with wheel. Bought this for Grandson He loved it we all loved it. Thank goodness at least we had something to play for Granchildrens Birthday as the item we bought for our Granddaughter did'nt work with Black Wii as it does'nt have square port. As this  was so good it made up for her disapointment. We did go and purchase anoth wheel so she could join in the grfeat fun.,5,MARIO KART 8 DELUXE,AMAZON,15,9,2012,Royaume-Uni
Ein Klasse Artikel und zu meiner vollsten Zufriedenheit.,5,MARIO KART 8 DELUXE,AMAZON,22,10,2020,Allemagne
"Mario Kart with Wii Wheel arrived way before expected and actually on a Thursday (the day I have my Grandsons of 7 & 4), as they were the ones who asked for it - what lovely surprise. Thank you. I also ordered an extra wheel which arrived at the same time.",4,MARIO KART 8 DELUXE,AMAZON,9,4,2010,Royaume-Uni
The game is fine but I did expect that the manual would at least have one section in English!  We had to download the instructions in English from the web - not what I would expect buying from directly from Amazon.,4,MARIO KART 8 DELUXE,AMAZON,27,5,2013,Royaume-Uni
"I bought this for my grandson who loved it, he had it out of the box on Christmas day and played on it for a while with his daddy, he is only 7 but seemed to get on with it quick the Amazon was a good price too",4,MARIO KART 8 DELUXE,AMAZON,27,12,2010,Royaume-Uni
"As everyone knows the game is one of the greatest ever but that is not the reaseon for the review , it is that the game was ment to be one day delivery and after 3 days i was still waiting and i was told it was despatched on time but still had not recieved till 4 days later , very disapointing",5,MARIO KART 8 DELUXE,AMAZON,4,1,2011,Royaume-Uni
If previous experience was like us on the handheld Nintendo this is excellent step up and suitably tricky to keep you engaged for hours. Loads of different courses and challenging twists. One of best Wii games I've sen.,4,MARIO KART 8 DELUXE,AMAZON,11,9,2013,Royaume-Uni
"Bought this to go with the Wii we gave our 9 year old son and 6 year old daughter for Christmas.  Has been huge success - kids seem to really enjoy it, and Grandad got very competitive playing on Boxing day!  My daughter likes to use the steering wheel and my son prefers to use the nunchuck and controller.",5,MARIO KART 8 DELUXE,AMAZON,10,1,2011,Royaume-Uni
"I got this for my boyfriend.  Not quite as he remembered from his younger days, was a little more complicated than he wanted.  It took a little bit of figuring out trying to use special features within the races and choosing different selections of cars and races but overall it was a good game and gave a lot of entertainment on games night.",5,MARIO KART 8 DELUXE,AMAZON,11,6,2013,Royaume-Uni
"Mario Kart ist ein Klassiker. Die verschiedenen Charaktere und Strecken bieten eine große Auswahl und Unterhaltung. Es wird einfach nicht langweilig, egal wie oft man spielt. Gerade in der Gruppe bietet dieses Spiel einen hohen Spaßfaktor.",5,MARIO KART 8 DELUXE,AMAZON,11,12,2018,Allemagne
"Wie nicht anders von NIntendo zu erwarten ist dieses Spiel der absolute Hit. Neben vielen Charakteren und einer Menge Auswahl an Fahrzeugen und Zweirädern bieten auch die verschiedenen Spielmodi und die verschiedenen Rennstrecken sehr viel Abwechslung und jede Menge Spielspaß. Das Lenkrad lässt sich super bedienen zusammen mit dem Controller ,liegt gut in der Hand und macht das Spiel wesentlich angenehmer zu spielen, weil man mehr Fahrgefühl hat.Empfehlenswert!! 1A",5,MARIO KART 8 DELUXE,AMAZON,29,6,2013,Allemagne
"OK, it's not to the standard of a PS3 game but it's good clean family fun. My husband and I had great fun playing against each other for ages, though he is much better than me!Hours of fun, despite that bloomin oil slick, which appears more the better you perform!Well worth buying in my view!",5,MARIO KART 8 DELUXE,AMAZON,14,12,2010,Royaume-Uni
I know I am coming late to the party with my comments but as only having recently purchased this game (second hand at an excellent price) I can only reiterate what all the positive reviews say about Mario Kart; it is great family fun even if you are a novice. I cannot praise it highly enough.,5,MARIO KART 8 DELUXE,AMAZON,1,6,2014,Royaume-Uni
"I suppose I would have given this a 5 star if I was better at playing it, but it is good fun!",4,MARIO KART 8 DELUXE,AMAZON,31,3,2015,Royaume-Uni
If you own new super mario bros (Wii) then this game will be very familiar to you! Endless fun although not as good as the new smb game 4 out of 5 Stuart,4,MARIO KART 8 DELUXE,AMAZON,17,7,2013,Royaume-Uni
Excellently packaged so box wasn't damaged upon arrival - great as this was a christmas present! Arrived the next day so couldn't have been speedier in the Christmas post!8 year old loved it (& 23 year old cousin couldn't wait to play it either!) so great game for all ages!! Would definitely recommend both game & seller!!,5,MARIO KART 8 DELUXE,AMAZON,28,12,2011,Royaume-Uni
"Nintendo almost never disappoints - at least not in my world!Racing with your friends, playing with the colorful settings and characters from the Super Mario universe, is definitely something that any Wii owner should try out. It's great fun - both if you're playing alone, but would also be great for a party.",5,MARIO KART 8 DELUXE,AMAZON,2,9,2011,Royaume-Uni
I daughter absolutely loved Mario Kart on her DS and bought a 2nd hand Wii off ebay.  She needed the Mario Kart game.  I have to say it is a great game and you don't need the wheel to play.  Actually my daughter hates playing with a wheel.,5,MARIO KART 8 DELUXE,AMAZON,3,10,2014,Royaume-Uni
"Bought for my 8 year olds birthday. She absolutely loves it and to be fair its an excellent game for the rest of the family too, although we are not quite as good as her yet! Easy to use and play the game, with lots of different characters, race machines and circuits to choose from. Would definately recommend.",5,MARIO KART 8 DELUXE,AMAZON,3,3,2013,Royaume-Uni
Das Spiel mit sucht Potenzial und dem dazugehörigen Lenkrad ist definitiv immer wieder ein Party Kracher.Das Lenkrad ist zwar aus Plastik wirkt aber nicht billig und geht auch nach ein paar hinfallern nicht so leicht kaputt.Der Controller passt perfekt in die dafür vorgesehene Lücke.Mario bleibt einfach nur zu Empfehlen!!!,5,MARIO KART 8 DELUXE,AMAZON,27,12,2016,Allemagne
"Great product, good value for money.",5,MARIO KART 8 DELUXE,AMAZON,9,5,2020,Royaume-Uni
"Das Spiel ist abwechslungsreich, macht viel Spaß und ist trotz der nicht mehr ganz aktuellen Grafik (oder vielleicht auch gerade deswegen) optisch überzeugend.Besonders mit 4 Spielern gleichzeitig kommt bei Kindergeburtstagen viel Freude auf.Der Packungsinhalt Spiel incl. Lenkrad geht für den Preis in Ordnung. Lediglich die weiße Farbe des Lenkrads stört etwas, wenn meine Wii schwarz ist, wählbare Farbe Schwarz für das Produkt bei der Bestellung wäre perfekt!",4,MARIO KART 8 DELUXE,AMAZON,16,1,2011,Allemagne
"Nicht nur mir gefällt das Spiel sehr gut, sogar meine ""bessere Hälfte"" liebt es anscheinend heiß und innig. ;-)32 sehr nett gestaltete Rennstrecken, witzige Charaktere (ich liebe Yoshi!) und Fahrzeuge, Multiplayer- und Internetfähigkeit, um gegen andere Kartpiloten überall auf der Erde antreten zu können sind auch heute noch - ca. 5 Jahre nach Einführung der Wii - ein klares ""Jou!"" für den ""Spaßracer"", der gerne mal ein Rennen nur so ""just for fun"" austrägt.",5,MARIO KART 8 DELUXE,AMAZON,1,2,2011,Allemagne
Brought for sons birthday ...he hasn't put it down ....Once set up Wii in the wheel slot it was easy,5,MARIO KART 8 DELUXE,AMAZON,9,3,2019,Royaume-Uni
This is a great game both for kids and adults. My 5 year old and his dad love to play together and my 2 year old loves to watch and he also pretends to drive using the Wii Wheel. My son has a couple of other games but this is his favorite one.,5,MARIO KART 8 DELUXE,AMAZON,29,6,2011,Royaume-Uni
"Great my son and I have one more activity to do together, and it didn't cost me an arm and a leg.",5,MARIO KART 8 DELUXE,AMAZON,23,4,2018,États-Unis
"MarioKart dürfte ja zwischenzeitlich jedem Konsolen-Nutzer ein Begriff sein und ich habe noch nie ein schlechtes Urteil über dieses Spiel gehört, gelesen oder gesehen!Es ist für Groß und Klein ein heiden Spaß!Einziges Manko ist, dass man im Team-Modus von seinen eigenen Kameraden weggeboxt, geschuckt, geschoben, in die Lava oder ins Wasser gekippt wird!Man ist also an sich immer auf sich alleine gestellt!Ansonsten ein tolles Spiel!",5,MARIO KART 8 DELUXE,AMAZON,31,12,2011,Allemagne
as described,4,MARIO KART 8 DELUXE,AMAZON,21,5,2018,Royaume-Uni
"Das Spiel macht sehr viel Spaß, auch wenn man sich erst an die Fahrt mit dem Lenkrad gewöhnen muss. Ob mit Freunden, anonym über das Internet oder alleine beim Grand Prix - das Spiel macht immer wieder Spaß. Im Gegensatz zu der Game Cube Variante sind die Fahre auch stärker, so dass man sich trotz guter Fahrt bis zum Ziel nie sicher sein kann das Spiel zu gewinnen.",5,MARIO KART 8 DELUXE,AMAZON,14,1,2012,Allemagne
"I find Mario Kart a really fun and entertaining game to play. Although I find the drift hard to control (you can get round it by using Automatic) it's really quite easy, especially when you're using the included wheel. Would definately reccommend this to anyone that's a fan of Mario.",5,MARIO KART 8 DELUXE,AMAZON,21,4,2012,Royaume-Uni
"Bought for a Christmas present for my grandsons, only problem is getting them to put it down when it's bed time, 3 and 5 year old ralley champs in making I don't get close.!! great fun.",5,MARIO KART 8 DELUXE,AMAZON,28,1,2016,Royaume-Uni
I have loved Mario Kart since I first played it on the SNES. This version for the Wii is no different. It is great fun for adults and children alike. The four player option means we can all play together. Definitely worth the money and the hype.,5,MARIO KART 8 DELUXE,AMAZON,24,3,2014,Royaume-Uni
"Mario Kart ist einfach ein Kultspiel, das jeder zuhause haben sollte. Das macht nicht nur den Kleinen Spaß! Mit dem mitgelieferten Lenkrad hat man auch das Gefühl selbst am Steuer zu sitzen. Schade ist nur, dass es die Strecke die nur im Kreis ging, nicht mehr gibt.",5,MARIO KART 8 DELUXE,AMAZON,4,10,2016,Allemagne
"Das Spiel und das Lenkrad sind in einem einwandfreien Zustand und wurden schnell geliefert. Das Spielen macht eine Menge Spaß.Das Lenkrad kann ich jedem nur empfehlen, ist spaßiger als mit Controller.Wir verwenden das Spiel auf der Wíi U und alles ist super!",5,MARIO KART 8 DELUXE,AMAZON,1,1,2017,Allemagne
Purchased this for my 4 yr. old grandson as he has been wanting Wii Mario Kart for some time after playing on it at his cousin's home.  Absolutely delighted with it.  Having a steering wheel in his hands makes it seem that little bit more 'real' - driving i.e.,5,MARIO KART 8 DELUXE,AMAZON,8,1,2013,Royaume-Uni
Finally got this as my son has been wanting it for ages.its a great game with different tracks and levels. at the moment we are all quite useless but it is one of those games where you can succeed quite easily with a bit of practice and just great fun,5,MARIO KART 8 DELUXE,AMAZON,7,3,2013,Royaume-Uni
Mario Kart is fun for kids (& parents)! Even small children (5 years old) can play the game and soon they know options in menues as their own pocket.It stimulate their mind to think & drive fast.,4,MARIO KART 8 DELUXE,AMAZON,8,2,2011,Royaume-Uni
Ja das waren noch Zeiten... immer um die Wette fahren mit einem Lenkrad in der Hand.Also für Kinder ist das genau das Richtige. So kann man gleich schon ein bisschen Auto fahren lernen.Volle Kaufempfehlung.,5,MARIO KART 8 DELUXE,AMAZON,20,12,2017,Allemagne
"Generally loved the Mario series, this was no exception! It's a very fun game, especially if you play with friends. There's a small learning curve - especially for those that weren't familiar with the previous Mario Kart - but once that's past it's just race and batter your opponents!",5,MARIO KART 8 DELUXE,AMAZON,18,7,2011,Royaume-Uni
Mario Kart wollte ich mir schon anschaffen seit ich meine Wii besitze (immerhin schon 2 Jahre) jetz habe ich es endlich getan. Ich möchte das Spiel schon jetzt nicht mehr missen. Es macht einfach sehr viel Spaß ob alleine oder zu mehreren der Spielspaß ist absolut garantiert. Als nächstes werde ich dann noch den WiFi Modus ausprobieren und hoffen das er mir genauso viel Spaß bringen wird.,5,MARIO KART 8 DELUXE,AMAZON,4,1,2011,Allemagne
"Es un juego muy divertido. Se lo compré para mi sobrina y está encantada, juega con los amigos y hace campeonatos. El volante no es gran cosa, no trae el mando, es de plástico y el mando se inserta en él. Pero da una buena sensación de volante  y creo que es útil. Recomiendo éste juego que está a buen precio (cuando lo compré algo así como €35)",4,MARIO KART 8 DELUXE,AMAZON,21,1,2013,Espagne
My 8 year old has asked me to give it 5 stars. Says it all!,5,MARIO KART 8 DELUXE,AMAZON,23,11,2018,Royaume-Uni
"Schönes Spiel, beschäftigt stundenlang, kindgerechte Unterhaltung.",5,MARIO KART 8 DELUXE,AMAZON,20,5,2020,Allemagne
"Das Spiel ist durch Vorgänger Konsolen von Nintendo vom Prinzip her bekannt. Es kommen auch verschiedene Rennbahnen aus alten Spielen hier zum Einsatz. Sie sind natürlich grafisch schön überarbeitet. Verschiedene Geschwindigkeitsklassen machen das ganze zu einem Erlebnis. Schön ist auch, dass man durch gute Leistungen weitere Rennen, Fahrer und Rennwagen freischalten kann.",5,MARIO KART 8 DELUXE,AMAZON,6,1,2014,Allemagne
Present for my 7 year old grandson.  Good graphics.  He enjoys playing the various games both on his own and with a friend.,4,MARIO KART 8 DELUXE,AMAZON,5,10,2013,Royaume-Uni
I bought this as a gift for my nephews who are 6 and 8 and they loved it.  Mario Kart has always been a favourite Nintendo game and this is no exception.  They also loved using wheels for driving as it made it more fun than using a controller.,3,MARIO KART 8 DELUXE,AMAZON,5,8,2013,Royaume-Uni
"Lo compré como regalo de cumpleaños para mi novio y me día cuenta de mi error cuando dejé de verle el pelo durante unas semanas de lo enganchado que estaba. Mario y Luigi nunca fallan! Viene además con el volante, y es entretenido tanto para jugar solo como en compañía. Y más barato por aquí que en tiendas físicas.",4,MARIO KART 8 DELUXE,AMAZON,14,12,2013,Espagne
Got this for my daughter. Its been used once now lives in the bottom of her toy box.,4,MARIO KART 8 DELUXE,AMAZON,18,9,2014,Royaume-Uni
Was soll man Sagen.Sicher die Grafik ist veraltet. Aber der Spielspaß leidet keinesfalls darunter. Mir persönlich macht es mit den WII Wheel mehr Spaß als mit einen GC Controller ( obwohl es sich damit leichter fährt.Für alle die dieses Spiel noch nicht haben eine Empfehlung es sich zu kaufen. Kleiner Tip gleich ein 2 Lenkrad dazu holen.,5,MARIO KART 8 DELUXE,AMAZON,20,9,2011,Allemagne
This is a great game I have not tried the battle mode yet though.  It seems to have so many more Grand Prix races that the Super Nintendo version,4,MARIO KART 8 DELUXE,AMAZON,12,3,2012,Royaume-Uni
Arrived still covered in muck from precious owners (purchase was 2nd hand) but works fine,3,MARIO KART 8 DELUXE,AMAZON,21,7,2017,Royaume-Uni
